code,display_tr,display_en,icd10_suggestion,body_region,retired_at
ANAMNEZ-SYM-0300,katı gıdalarda yutma güçlüğü,Dysphagia for solids,R13,gastrointestinal,
ANAMNEZ-SYM-0301,kaşeksi,Cachexia,R64,constitutional,
ANAMNEZ-SYM-0302,kaşıntı,itching / pruritus,L29.9,skin,
ANAMNEZ-SYM-0303,kaşıntılı döküntü,pruritic rash,R21,skin,
ANAMNEZ-SYM-0304,kaşıntılı vajinal akıntı,Pruritic vaginal discharge,N89.8,gynecologic,
ANAMNEZ-SYM-0305,kemik ağrısı,bone pain,M89.89,musculoskeletal,
ANAMNEZ-SYM-0306,kendine zarar verme düşüncesi,Self-harm thoughts,R45.89,psychiatric,
ANAMNEZ-SYM-0307,kesik kesik idrar yapma,intermittent urinary stream,R39.1,genitourinary,
ANAMNEZ-SYM-0308,keskin/saplanıcı karın ağrısı,Sharp abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0309,keyifsizlik,Feeling out of sorts,R53,constitutional,
ANAMNEZ-SYM-0310,kilo alımı,Weight gain,R63.5,constitutional,
ANAMNEZ-SYM-0311,kilo kaybı,Weight loss,R63.4,constitutional,
ANAMNEZ-SYM-0312,koku alamama,anosmia,R43.0,ent,
ANAMNEZ-SYM-0313,koku algısı bozukluğu,parosmia,R43.1,ent,
ANAMNEZ-SYM-0314,koku alma azalması,hyposmia,R43.8,ent,
ANAMNEZ-SYM-0315,koku alma kaybı,Loss of smell / anosmia,R43.0,neurological,
ANAMNEZ-SYM-0316,kolik tarzında karın ağrısı,Colicky abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0317,koma,Coma,R40.2,neurological,
ANAMNEZ-SYM-0318,konfüzyon,Confusion,R41.0,neurological,
ANAMNEZ-SYM-0319,konsantrasyon güçlüğü,Poor concentration,R41.8,psychiatric,
ANAMNEZ-SYM-0320,konuşma bozukluğu,Speech disturbance,R47.8,neurological,
ANAMNEZ-SYM-0321,konuşma gecikmesi,Speech / language delay,R62.0,pediatric,
ANAMNEZ-SYM-0322,konvülsiyon,Convulsion,R56.8,neurological,
ANAMNEZ-SYM-0323,koyu renkli idrar (sarılıkla birlikte),Dark urine (with jaundice),R17,gastrointestinal,
ANAMNEZ-SYM-0324,kronik ağrı,Chronic pain,R52.2,constitutional,
ANAMNEZ-SYM-0325,kronik baş ağrısı,chronic headache,R51,head_neck,
ANAMNEZ-SYM-0326,kronik ishal,Chronic diarrhea,K59.1,gastrointestinal,
ANAMNEZ-SYM-0327,kronik pelvik ağrı,Chronic pelvic pain,R10.2,gynecologic,
ANAMNEZ-SYM-0328,kronik öksürük,chronic cough,R05,respiratory,
ANAMNEZ-SYM-0329,kulak akıntısı,ear discharge,H92.1,ent,
ANAMNEZ-SYM-0330,kulak ağrısı,earache,H92.0,ent,
ANAMNEZ-SYM-0331,kulak kiri tıkanması hissi,sensation of impacted cerumen,H61.2,ent,
ANAMNEZ-SYM-0332,kulakta basınç hissi,ear pressure sensation,H93.8,ent,
ANAMNEZ-SYM-0333,kulakta dolgunluk hissi,ear fullness,H93.8,ent,
ANAMNEZ-SYM-0334,kulakta kanama,bleeding from ear,H92.2,ent,
ANAMNEZ-SYM-0335,kulakta kaşıntı,ear itching,H93.8,ent,
ANAMNEZ-SYM-0336,kulakta yabancı cisim hissi,foreign body sensation in ear,H93.8,ent,
ANAMNEZ-SYM-0337,kulakta çınlama,tinnitus,H93.1,ent,
ANAMNEZ-SYM-0338,kuru öksürük,dry cough,R05,respiratory,
ANAMNEZ-SYM-0339,kusma,Vomiting,R11,gastrointestinal,
ANAMNEZ-SYM-0340,köpüklü balgam,frothy sputum,R09.3,respiratory,
ANAMNEZ-SYM-0341,kötü kokulu idrar,malodorous urine,R39.8,genitourinary,
ANAMNEZ-SYM-0342,kötü kokulu vajinal akıntı,Malodorous vaginal discharge,N89.8,gynecologic,
ANAMNEZ-SYM-0343,künt karın ağrısı,Dull abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0344,kırgınlık,Feeling unwell / malaise,R53,constitutional,
ANAMNEZ-SYM-0345,kızarıklık,redness / erythema,L53.9,skin,
ANAMNEZ-SYM-0346,lokalize döküntü,localized rash,R21,skin,
ANAMNEZ-SYM-0347,lokalize lenfadenopati,Localized lymphadenopathy,R59.0,constitutional,
ANAMNEZ-SYM-0348,lokalize terleme,localized hyperhidrosis,R61.0,skin,
ANAMNEZ-SYM-0349,lumbar radikülopati,lumbar radiculopathy,M54.16,musculoskeletal,
ANAMNEZ-SYM-0350,makattan kanama (hematokezi),Hematochezia / rectal bleeding,K62.5,gastrointestinal,
ANAMNEZ-SYM-0351,makül,macule,R23.8,skin,
ANAMNEZ-SYM-0352,masum üfürüm,Innocent / benign murmur,R01.0,cardiovascular,
ANAMNEZ-SYM-0353,mekanik topallama,mechanical limping (antalgic gait),M25.56,musculoskeletal,
ANAMNEZ-SYM-0354,melena,Melena,K92.1,gastrointestinal,
ANAMNEZ-SYM-0355,meme ağrısı / mastalji,Breast pain / mastalgia,N64.4,gynecologic,
ANAMNEZ-SYM-0356,meme ucu akıntısı,Nipple discharge,N64.5,gynecologic,
ANAMNEZ-SYM-0357,meme ucunda çatlak,Nipple fissure,N64.0,gynecologic,
ANAMNEZ-SYM-0358,memede kitle (hasta ifadesi),Breast lump (patient-reported),N63,gynecologic,
ANAMNEZ-SYM-0359,mide yanması,Heartburn,R12,gastrointestinal,
ANAMNEZ-SYM-0360,moralsizlik,Low mood,R45.2,psychiatric,
ANAMNEZ-SYM-0361,morarma (siyanoz),cyanosis,R23.0,skin,
ANAMNEZ-SYM-0362,morluk / ekimoz,bruising / ecchymosis,R23.3,skin,
ANAMNEZ-SYM-0363,nefes darlığı,dyspnoea / shortness of breath,R06.0,respiratory,
ANAMNEZ-SYM-0364,nodül,nodule,R22.9,skin,
ANAMNEZ-SYM-0365,nöbet geçirme,Seizure,R56.8,neurological,
ANAMNEZ-SYM-0366,nöbet tarzında öksürük,paroxysmal cough,R05,respiratory,
ANAMNEZ-SYM-0367,oksipital baş ağrısı,occipital headache,R51,head_neck,
ANAMNEZ-SYM-0368,omuz ağrısı,shoulder pain,M25.51,musculoskeletal,
ANAMNEZ-SYM-0369,omuz kası ağrısı,shoulder-region myalgia,M79.11,musculoskeletal,
ANAMNEZ-SYM-0370,omuz sertliği,shoulder stiffness,M25.61,musculoskeletal,
ANAMNEZ-SYM-0371,ortopne,orthopnoea,R06.0,respiratory,
ANAMNEZ-SYM-0372,ortostatik baş dönmesi,Orthostatic dizziness,R42,cardiovascular,
ANAMNEZ-SYM-0373,oryantasyon bozukluğu,Disorientation,R41.0,neurological,
ANAMNEZ-SYM-0374,ovulasyon ağrısı,Mittelschmerz,N94.0,gynecologic,
ANAMNEZ-SYM-0375,ovulasyon kanaması,Ovulation bleeding,N92.3,gynecologic,
ANAMNEZ-SYM-0376,panik benzeri ataklar,Panic-like episodes,R45.89,psychiatric,
ANAMNEZ-SYM-0377,papül,papule,R23.8,skin,
ANAMNEZ-SYM-0378,parmak ağrısı,finger pain,M25.54,musculoskeletal,
ANAMNEZ-SYM-0379,parmaklarda çomaklaşma,clubbing of fingers,R68.3,respiratory,
ANAMNEZ-SYM-0380,paroksismal nokturnal dispne,paroxysmal nocturnal dyspnoea,R06.0,respiratory,
ANAMNEZ-SYM-0381,pelvik ağrı,Pelvic pain,R10.2,gastrointestinal,
ANAMNEZ-SYM-0382,pelvik baskı / dolgunluk hissi,Pelvic pressure / fullness,R10.2,gynecologic,
ANAMNEZ-SYM-0383,penis akıntısı,penile discharge,R36,genitourinary,
ANAMNEZ-SYM-0384,penis ucunda yanma,penile burning,R30.0,genitourinary,
ANAMNEZ-SYM-0385,periferik siyanoz,Peripheral cyanosis,R23.0,cardiovascular,
ANAMNEZ-SYM-0386,periferik vertigo,Peripheral vertigo,H81.3,neurological,
ANAMNEZ-SYM-0387,perineal ağrı,Perineal pain,R10.2,gastrointestinal,
ANAMNEZ-SYM-0388,periyodik solunum,periodic breathing,R06.3,respiratory,
ANAMNEZ-SYM-0389,peteşi,petechiae,R23.3,skin,
ANAMNEZ-SYM-0390,pika (yenmeyen şeyleri yeme),Pica (infancy/childhood),F98.3,pediatric,
ANAMNEZ-SYM-0391,plak,plaque,R23.8,skin,
ANAMNEZ-SYM-0392,plörezi (yan ağrısı),pleurisy,R09.1,respiratory,
ANAMNEZ-SYM-0393,polidipsi / aşırı susama,Polydipsia,R63.1,constitutional,
ANAMNEZ-SYM-0394,postkoital kanama,Postcoital bleeding,N93.0,gynecologic,
ANAMNEZ-SYM-0395,postmenopozal kanama,Postmenopausal bleeding,N95.0,gynecologic,
ANAMNEZ-SYM-0396,pozisyonel baş dönmesi,Positional vertigo,H81.1,neurological,
ANAMNEZ-SYM-0397,prekordial ağrı,Precordial pain,R07.2,cardiovascular,
ANAMNEZ-SYM-0398,premenopozal aşırı kanama,Excessive premenopausal bleeding,N92.4,gynecologic,
ANAMNEZ-SYM-0399,premenstrüel sendrom (yakınma),Premenstrual tension syndrome,N94.3,gynecologic,
ANAMNEZ-SYM-0400,presenkop / bayılacak gibi olma,Pre-syncope,R55,neurological,
ANAMNEZ-SYM-0401,pretibial ödem,Pretibial oedema,R60.0,cardiovascular,
ANAMNEZ-SYM-0402,primer amenore,Primary amenorrhoea,N91.0,gynecologic,
ANAMNEZ-SYM-0403,primer dismenore,Primary dysmenorrhoea,N94.4,gynecologic,
ANAMNEZ-SYM-0404,projektil kusma,Projectile vomiting,R11,gastrointestinal,
ANAMNEZ-SYM-0405,rektal akıntı,Rectal discharge,R19.8,gastrointestinal,
ANAMNEZ-SYM-0406,renk görme bozukluğu,Color vision deficiency,H53.5,eye,
ANAMNEZ-SYM-0407,renksiz/açık renkli dışkı,Pale / acholic stools,R19.5,gastrointestinal,
ANAMNEZ-SYM-0408,sabah baş ağrısı,morning headache,R51,head_neck,
ANAMNEZ-SYM-0409,sabah bulantısı,Morning nausea,R11,gastrointestinal,
ANAMNEZ-SYM-0410,sabah tutukluğu,morning stiffness,M25.69,musculoskeletal,
ANAMNEZ-SYM-0411,safralı kusma,Bilious vomiting,R11,gastrointestinal,
ANAMNEZ-SYM-0412,saldırgan davranış,Aggressive behaviour,R45.6,psychiatric,
ANAMNEZ-SYM-0413,santral siyanoz,Central cyanosis,R23.0,cardiovascular,
ANAMNEZ-SYM-0414,sararma (deride),yellow skin / jaundice,R17,skin,
ANAMNEZ-SYM-0415,sarı-yeşil balgam,purulent sputum,R09.3,respiratory,
ANAMNEZ-SYM-0416,sarılık,Jaundice,R17,gastrointestinal,
ANAMNEZ-SYM-0417,saç dökülmesi,hair loss / alopecia,L65.9,skin,
ANAMNEZ-SYM-0418,saçlı deride hassasiyet,scalp tenderness,R20.8,head_neck,
ANAMNEZ-SYM-0419,saçlı deride kaşıntı,scalp itching,L29.8,head_neck,
ANAMNEZ-SYM-0420,sağ alt kadran ağrısı (RLQ),Right lower quadrant pain,R10.3,gastrointestinal,
ANAMNEZ-SYM-0421,sağ üst kadran ağrısı (RUQ),Right upper quadrant pain,R10.1,gastrointestinal,
ANAMNEZ-SYM-0422,sekonder amenore,Secondary amenorrhoea,N91.1,gynecologic,
ANAMNEZ-SYM-0423,sekonder dismenore,Secondary dysmenorrhoea,N94.5,gynecologic,
ANAMNEZ-SYM-0424,senkop,Syncope and collapse,R55,cardiovascular,
ANAMNEZ-SYM-0425,senkop / bayılma,Syncope and collapse,R55,constitutional,
ANAMNEZ-SYM-0426,sersemlik hissi,Lightheadedness,R42,cardiovascular,
ANAMNEZ-SYM-0427,sert dışkı,Hard stools,K59.0,gastrointestinal,
ANAMNEZ-SYM-0428,sertleşme sorunu (erektil disfonksiyon),erectile dysfunction,N48.4,genitourinary,
ANAMNEZ-SYM-0429,servikal radikülopati,cervical radiculopathy,M54.12,musculoskeletal,
ANAMNEZ-SYM-0430,servikobrakiyal ağrı,cervicobrachial pain,M53.1,head_neck,
ANAMNEZ-SYM-0431,servikokranial sendrom,cervicocranial syndrome,M53.0,head_neck,
ANAMNEZ-SYM-0432,ses değişikliği,voice change,R49.8,ent,
ANAMNEZ-SYM-0433,ses kaybı,loss of voice,R49.1,ent,
ANAMNEZ-SYM-0434,ses kısıklığı,hoarseness,R49.0,ent,
ANAMNEZ-SYM-0435,seyrek adet / oligomenore,Oligomenorrhoea,N91.5,gynecologic,
ANAMNEZ-SYM-0436,seyrek dışkılama,Infrequent defecation,K59.0,gastrointestinal,
ANAMNEZ-SYM-0437,sinirlilik,Irritability,R45.4,psychiatric,
ANAMNEZ-SYM-0438,siyanoz,Cyanosis,R23.0,cardiovascular,
ANAMNEZ-SYM-0439,siyatik ağrısı,sciatica,M54.3,musculoskeletal,
ANAMNEZ-SYM-0440,skrotal ağrı,scrotal pain,,genitourinary,
ANAMNEZ-SYM-0441,skrotal kaşıntı,pruritus scroti,L29.1,skin,
ANAMNEZ-SYM-0442,skrotal şişlik,scrotal swelling,,genitourinary,
ANAMNEZ-SYM-0443,sol alt kadran ağrısı (LLQ),Left lower quadrant pain,R10.3,gastrointestinal,
ANAMNEZ-SYM-0444,sol kola yayılan göğüs ağrısı,Chest pain radiating to left arm,R07.3,cardiovascular,
ANAMNEZ-SYM-0445,sol üst kadran ağrısı (LUQ),Left upper quadrant pain,R10.1,gastrointestinal,
ANAMNEZ-SYM-0446,solgun görünüm,Pallor,R23.1,constitutional,
ANAMNEZ-SYM-0447,solgunluk,Pallor,R23.1,cardiovascular,
ANAMNEZ-SYM-0448,solunum arresti,respiratory arrest,R09.2,respiratory,
ANAMNEZ-SYM-0449,solunum yolundan kanama,haemorrhage from respiratory passages,R04.9,respiratory,
ANAMNEZ-SYM-0450,solunumda göğüs ağrısı,chest pain on breathing,R07.1,respiratory,
ANAMNEZ-SYM-0451,solunumla artan göğüs ağrısı,Chest pain on breathing / pleuritic,R07.1,cardiovascular,
ANAMNEZ-SYM-0452,sosyal geri çekilme,Social withdrawal,R46.89,psychiatric,
ANAMNEZ-SYM-0453,soğuk eller / ayaklar,Cold extremities,R23.8,cardiovascular,
ANAMNEZ-SYM-0454,soğuk intoleransı,Cold intolerance,R68.8,constitutional,
ANAMNEZ-SYM-0455,splenomegali,Splenomegaly,R16.1,gastrointestinal,
ANAMNEZ-SYM-0456,stres tipi idrar kaçırma,stress urinary incontinence,N39.3,genitourinary,
ANAMNEZ-SYM-0457,stridor,stridor,R06.1,respiratory,
ANAMNEZ-SYM-0458,stupor,Stupor,R40.1,neurological,
ANAMNEZ-SYM-0459,substernal göğüs ağrısı,Substernal chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0460,sulu ishal,Watery diarrhea,K59.1,gastrointestinal,
ANAMNEZ-SYM-0461,suprapubik ağrı,suprapubic pain,R10.3,genitourinary,
ANAMNEZ-SYM-0462,susuzluk hissi,Thirst,R63.1,constitutional,
ANAMNEZ-SYM-0463,sünnet derisi sıyrılmıyor (fimozis şüphesi),phimosis-like complaint,N47,genitourinary,
ANAMNEZ-SYM-0464,sıcak basması,Hot flushes,N95.1,gynecologic,
ANAMNEZ-SYM-0465,sıcak intoleransı,Heat intolerance,R68.8,constitutional,
ANAMNEZ-SYM-0466,sıcak tükenmesi,Heat exhaustion,T67.5,constitutional,
ANAMNEZ-SYM-0467,sıcak çarpması,Heatstroke,T67.0,constitutional,
ANAMNEZ-SYM-0468,sık adet / polimenore,Polymenorrhoea / frequent menstruation,N92.0,gynecologic,
ANAMNEZ-SYM-0469,sık idrara çıkma,urinary frequency,R35,genitourinary,
ANAMNEZ-SYM-0470,sıkışma tipi idrar kaçırma,urge urinary incontinence,N39.4,genitourinary,
ANAMNEZ-SYM-0471,sıkıştırıcı göğüs ağrısı,Squeezing/constricting chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0472,sırt ağrısı,thoracic back pain,M54.6,musculoskeletal,
ANAMNEZ-SYM-0473,sırt kası ağrısı,back muscle pain,M79.18,musculoskeletal,
ANAMNEZ-SYM-0474,sırta yayılan göğüs ağrısı,Chest pain radiating to back,R07.3,cardiovascular,
ANAMNEZ-SYM-0475,sıvılarda yutma güçlüğü,Dysphagia for liquids,R13,gastrointestinal,
ANAMNEZ-SYM-0476,tam boşaltamama hissi,sensation of incomplete bladder emptying,R39.1,genitourinary,
ANAMNEZ-SYM-0477,tat alma bozukluğu,Taste disturbance,R43.2,neurological,
ANAMNEZ-SYM-0478,tek taraflı bacak şişliği,Unilateral leg swelling,R60.0,cardiovascular,
ANAMNEZ-SYM-0479,tek taraflı baş ağrısı,unilateral headache,R51,head_neck,
ANAMNEZ-SYM-0480,tek taraflı güçsüzlük,Unilateral / focal weakness,R29.88,neurological,
ANAMNEZ-SYM-0481,tek taraflı işitme azlığı,unilateral hearing loss,H91.9,ent,
ANAMNEZ-SYM-0482,tekrarlayan ateş,Recurrent fever,R50.9,constitutional,
ANAMNEZ-SYM-0483,tenezm,Tenesmus,R19.8,gastrointestinal,
ANAMNEZ-SYM-0484,teselli edilemeyen ağlama,Inconsolable crying,R68.1,pediatric,
ANAMNEZ-SYM-0485,testis ağrısı,testicular pain,,genitourinary,
ANAMNEZ-SYM-0486,testis şişliği,testicular swelling,,genitourinary,
ANAMNEZ-SYM-0487,titreme,Shivering / rigors,R68.8,constitutional,
ANAMNEZ-SYM-0488,titreme / tremor,Tremor,R25.1,neurological,
ANAMNEZ-SYM-0489,topuk ağrısı,heel pain,M79.67,musculoskeletal,
ANAMNEZ-SYM-0490,tortikollis,torticollis,M43.6,head_neck,
ANAMNEZ-SYM-0491,trigeminal nevralji benzeri ağrı,trigeminal neuralgia-like pain,G50.0,head_neck,
ANAMNEZ-SYM-0492,tıklayan kalça (bebek),Clicking hip (infant),R29.4,pediatric,
ANAMNEZ-SYM-0493,tıkınırcasına yeme yakınması,Binge eating complaint,R63.2,psychiatric,
ANAMNEZ-SYM-0494,tırnak değişikliği,nail change / nail disorder,L60.9,skin,
ANAMNEZ-SYM-0495,tırnak renk değişikliği,nail discoloration,L60.8,skin,
ANAMNEZ-SYM-0496,umutsuzluk,Hopelessness,R45.89,psychiatric,
ANAMNEZ-SYM-0497,unutkanlık,Forgetfulness / memory loss,R41.3,neurological,
ANAMNEZ-SYM-0498,unutkanlık yakınması,Subjective memory complaint,R41.3,psychiatric,
ANAMNEZ-SYM-0499,uyku hali / somnolans,Somnolence / drowsiness,R40.0,neurological,
ANAMNEZ-SYM-0500,uykusuzluk,Insomnia / difficulty sleeping,G47.0,psychiatric,
ANAMNEZ-SYM-0501,uyluk ağrısı,thigh pain,M79.65,musculoskeletal,
ANAMNEZ-SYM-0502,uyuşma,Numbness,R20.2,neurological,
ANAMNEZ-SYM-0503,uçuşan cisimler,Floaters,H53.1,eye,
ANAMNEZ-SYM-0504,vajinal akıntı,Vaginal discharge / leukorrhea,N89.8,gynecologic,
ANAMNEZ-SYM-0505,vajinal kuruluk,Vaginal dryness,N95.2,gynecologic,
ANAMNEZ-SYM-0506,vajinismus,Vaginismus,N94.2,gynecologic,
ANAMNEZ-SYM-0507,vezikal tenesmus,vesical tenesmus,R30.1,genitourinary,
ANAMNEZ-SYM-0508,vezikül / küçük su toplaması,vesicle,R23.8,skin,
ANAMNEZ-SYM-0509,vulvar ağrı / vulvodini,Vulvar pain / vulvodynia,N94.8,gynecologic,
ANAMNEZ-SYM-0510,vulvar kaşıntı,Vulvar itching / pruritus vulvae,L29.2,gynecologic,
ANAMNEZ-SYM-0511,vulvar yanma hissi,Vulvar burning,N94.8,gynecologic,
ANAMNEZ-SYM-0512,yan ağrısı (böğür ağrısı),flank pain,N23,genitourinary,
ANAMNEZ-SYM-0513,yanma hissi,Burning sensation,R20.8,neurological,
ANAMNEZ-SYM-0514,yanıcı göğüs ağrısı,Burning chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0515,yavaş davranış,Psychomotor slowing,R46.4,psychiatric,
ANAMNEZ-SYM-0516,yavaş kalp atışı / bradikardi yakınması,Bradycardia (as complaint),R00.1,cardiovascular,
ANAMNEZ-SYM-0517,yaygın döküntü,generalized rash,R21,skin,
ANAMNEZ-SYM-0518,yaygın karın ağrısı,Generalized abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0519,yaygın kas ağrısı,generalized myalgia,M79.10,musculoskeletal,
ANAMNEZ-SYM-0520,yaygın kaşıntı,generalized pruritus,L29.8,skin,
ANAMNEZ-SYM-0521,yaygın lenf bezi şişliği,generalized lymphadenopathy,R59.1,head_neck,
ANAMNEZ-SYM-0522,yaygın saç dökülmesi (telogen),telogen effluvium,L65.0,skin,
ANAMNEZ-SYM-0523,yaygın sırt ağrısı,generalized backache,M54.9,musculoskeletal,
ANAMNEZ-SYM-0524,yaygın terleme,generalized hyperhidrosis,R61.1,skin,
ANAMNEZ-SYM-0525,yaygın vücut ağrısı,Diffuse body pain,R52.9,constitutional,
ANAMNEZ-SYM-0526,yaygın şişlik,Generalized swelling,R60.1,constitutional,
ANAMNEZ-SYM-0527,yağlı/parlak dışkı (steatore),Steatorrhea,R19.5,gastrointestinal,
ANAMNEZ-SYM-0528,yemek sonrası karın ağrısı,Postprandial abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0529,yenidoğan sarılığı,Neonatal jaundice,P59.9,pediatric,
ANAMNEZ-SYM-0530,yenidoğanda kusma,Vomiting in newborn,P92.0,pediatric,
ANAMNEZ-SYM-0531,yenidoğanda regürjitasyon,Regurgitation in newborn,P92.1,pediatric,
ANAMNEZ-SYM-0532,yenidoğanda yavaş beslenme,Slow feeding of newborn,P92.2,pediatric,
ANAMNEZ-SYM-0533,yetersiz kilo alımı (bebek/çocuk),Poor weight gain in infant/child,R62.8,pediatric,
ANAMNEZ-SYM-0534,yorgun uyanma,Unrefreshing sleep,G47.8,psychiatric,
ANAMNEZ-SYM-0535,yorgunluk,Fatigue,R53,constitutional,
ANAMNEZ-SYM-0536,yutma güçlüğü,dysphagia,R13,ent,
ANAMNEZ-SYM-0537,yüksek ateş,High fever,R50.9,constitutional,
ANAMNEZ-SYM-0538,yüksek tansiyon ölçümü (tanı yok),Elevated blood pressure reading (no diagnosis),R03.0,cardiovascular,
ANAMNEZ-SYM-0539,yürüme gecikmesi,Delayed walking,R62.0,pediatric,
ANAMNEZ-SYM-0540,yürüme zorluğu,Difficulty in walking,R26.2,neurological,
ANAMNEZ-SYM-0541,yürürken bacak ağrısı / klaudikasyo,Intermittent claudication / leg pain on walking,I73.9,cardiovascular,
ANAMNEZ-SYM-0542,yürüyüş bozukluğu,Gait disturbance,R26.8,neurological,
ANAMNEZ-SYM-0543,yüz ağrısı,facial pain,R51,head_neck,
ANAMNEZ-SYM-0544,yüz/sinüs ağrısı,facial/sinus pain,R07.0,ent,
ANAMNEZ-SYM-0545,yüzde kayma / asimetri,Facial droop / asymmetry,R29.88,neurological,
ANAMNEZ-SYM-0546,yüzde kızarıklık,facial flushing,R23.2,head_neck,
ANAMNEZ-SYM-0547,yüzde kızarıklık (al basması),facial flushing,R23.2,skin,
ANAMNEZ-SYM-0548,yüzde uyuşma/karıncalanma,facial numbness / paraesthesia,R20.2,head_neck,
ANAMNEZ-SYM-0549,yüzeyel solunum,shallow breathing,R06.8,respiratory,
ANAMNEZ-SYM-0550,zayıf idrar akımı,weak urinary stream,R39.1,genitourinary,
ANAMNEZ-SYM-0551,zevk alamama,Anhedonia,R45.89,psychiatric,
ANAMNEZ-SYM-0552,zihin bulanıklığı / beyin sisi,Brain fog (patient-reported),R41.8,neurological,
ANAMNEZ-SYM-0553,zihinsel bulanıklık,Mental fogginess,R41.8,psychiatric,
ANAMNEZ-SYM-0554,zonklayıcı baş ağrısı,throbbing headache,R51,head_neck,
ANAMNEZ-SYM-0555,zor dışkılama,Straining at stool,K59.0,gastrointestinal,
ANAMNEZ-SYM-0556,çarpıntı,Palpitations,R00.2,cardiovascular,
ANAMNEZ-SYM-0557,çene açarken ağrı/kilitlenme,jaw pain on opening / locking,K07.6,head_neck,
ANAMNEZ-SYM-0558,çene eklemi ağrısı,temporomandibular joint pain,K07.6,head_neck,
ANAMNEZ-SYM-0559,çenede klik/çıtırtı sesi,jaw clicking,K07.6,head_neck,
ANAMNEZ-SYM-0560,çeneye yayılan göğüs ağrısı,Chest pain radiating to jaw,R07.3,cardiovascular,
ANAMNEZ-SYM-0561,çift görme,Diplopia,H53.2,eye,
ANAMNEZ-SYM-0562,çift taraflı bacak ödemi,Bilateral leg oedema,R60.0,cardiovascular,
ANAMNEZ-SYM-0563,çocukta uyku terörü / gece korkusu,Night terrors,F51.4,pediatric,
ANAMNEZ-SYM-0564,çocukta uyurgezerlik,Sleepwalking,F51.3,pediatric,
ANAMNEZ-SYM-0565,çok idrar yapma (poliüri),polyuria,R35,genitourinary,
ANAMNEZ-SYM-0566,çoklu deri kitleleri,"localized swellings, multiple sites",R22.7,skin,
ANAMNEZ-SYM-0567,çoklu eklem ağrısı,polyarthralgia (multiple joints),M25.50,musculoskeletal,
ANAMNEZ-SYM-0568,çoklu somatik yakınma,Multiple somatic complaints,,psychiatric,
ANAMNEZ-SYM-0569,çökkün ruh hali,Depressed mood,R45.2,psychiatric,
ANAMNEZ-SYM-0570,ödem (tanımlanmamış),Oedema unspecified,R60.9,constitutional,
ANAMNEZ-SYM-0571,öfke patlamaları,Anger outbursts,R45.4,psychiatric,
ANAMNEZ-SYM-0572,öksürmeyle birlikte boğaz ağrısı,sore throat with cough,R07.0,ent,
ANAMNEZ-SYM-0573,öksürük,cough,R05,respiratory,
ANAMNEZ-SYM-0574,ön kol ağrısı,forearm pain,M79.63,musculoskeletal,
ANAMNEZ-SYM-0575,özbakımda azalma,Decline in personal hygiene,R46.0,psychiatric,
ANAMNEZ-SYM-0576,üretral akıntı,urethral discharge,R36,genitourinary,
ANAMNEZ-SYM-0577,ürtiker / kurdeşen,urticaria / hives,L50.9,skin,
ANAMNEZ-SYM-0578,üst karın ağrısı,Upper abdominal pain,R10.1,gastrointestinal,
ANAMNEZ-SYM-0579,üst kol ağrısı,upper arm pain,M79.62,musculoskeletal,
ANAMNEZ-SYM-0580,üşüme,Chills,R68.8,constitutional,
ANAMNEZ-SYM-0581,ışık çakmaları,Photopsia / flashes,H53.1,eye,
ANAMNEZ-SYM-0582,ışıktan rahatsız olma,Photophobia,H53.1,eye,
ANAMNEZ-SYM-0583,şaşılık şikâyeti,Strabismus complaint,H53.3,eye,
ANAMNEZ-SYM-0584,şiddetli baş ağrısı,severe headache,R51,head_neck,
ANAMNEZ-SYM-0585,şüphecilik,Suspiciousness,R46.5,psychiatric,
